name,rating,hours,categories,address
PanIQ Escape Room - Boston,N/A,,,"130 Water St, Boston, MA 02109"
Ringgold Park,3 star rating,,Parks;Playgrounds,"Ringgold St, Boston, MA 02118"
The Clubs At Charles River Park,3 star rating,5:30 AM - 10:00 PM;5:30 AM - 10:00 PM;5:30 AM - 10:00 PM;5:30 AM - 10:00 PM;5:30 AM - 8:00 PM;8:00 AM - 6:00 PM;8:00 AM - 6:00 PM,Gyms;Swimming Pools;Swimming Lessons/Schools,"10 Whittier Pl, Boston, MA 02114"
Olmsted Park,4.5 star rating,,Parks,"2 Brookline Pl, The Emerald Necklace Conservancy"
Row House - Boston,5 star rating,6:00 AM - 7:00 PM;6:00 AM - 8:00 PM;6:00 AM - 8:00 PM;6:00 AM - 8:00 PM;6:00 AM - 1:00 PM;8:00 AM - 12:00 PM;8:00 AM - 12:00 PM,Cardio Classes,"25 Lovejoy Wharf, Boston, MA 02114"
The Pirate Ship Formidable,5 star rating,,Historical Tours;Amusement Parks;Boat Tours,"60 Rowes Wharf, Massachusetts Bay Line Vessels"
SoulCycle Seaport,4 star rating,6:30 AM - 8:00 PM;5:30 AM - 8:00 PM;5:30 AM - 8:00 PM;5:30 AM - 8:00 PM;5:30 AM - 7:30 PM;9:00 AM - 1:00 PM;9:00 AM - 1:00 PM,Cycling Classes,"101 Seaport Blvd., Space L-180"
Moves & Vibes Dance Co,5 star rating,8:00 PM - 10:00 PM;8:00 PM - 10:00 PM;8:00 PM - 10:00 PM;Closed;Closed;Closed;Closed,Performing Arts;Dance Studios,"44 Fifth St, Cambridge, MA 02141"
Steriti Memorial Rink,4.5 star rating,1:30 PM - 2:30 PM;1:30 PM - 5:00 PM;1:30 PM - 2:30 PM;1:30 PM - 2:30 PM;1:30 PM - 2:30 PM;7:00 PM - 9:00 PM;2:00 PM - 4:00 PM;7:00 PM - 10:00 PM;2:00 PM - 5:00 PM,Skating Rinks,"561 Commercial St, Boston, MA 02109"
Yirrell Beach,4 star rating,,Beaches,"Shirley St, Winthrop, MA 02152"
Charles River Canoe & Kayak,4.5 star rating,Closed;Closed;Closed;Closed;Closed;8:00 AM - 8:00 PM;8:00 AM - 8:00 PM,Paddleboarding;Rafting/Kayaking;Tours,"195 Moody St, Waltham, MA 02453"
Lechmere Canal Park,4.5 star rating,,Parks,N/A
Alien Motorsports,4 star rating,10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM;Closed,Motorcycle Repair;Motorsport Vehicle Dealers;Scooter Rentals,"55 Pond St, Unit 3A"
Noanet Woodlands,4.5 star rating,,Parks;Hiking,"Dedham St, Dover, MA 02030"
Magazine Beach Bath House & Pool,4.5 star rating,11:00 AM - 7:00 PM;11:00 AM - 7:00 PM;11:00 AM - 7:00 PM;11:00 AM - 7:00 PM;11:00 AM - 7:00 PM;11:00 AM - 7:00 PM;11:00 AM - 7:00 PM,Swimming Pools,"719 Memorial Dr, Cambridge, MA 02139"
Combat Sports Boston,4.5 star rating,,Sports Clubs;Martial Arts,"261 Friend St, Boston, MA 02114"
Museum Hack,N/A,Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours,Art Tours;Scavenger Hunts,"465 Huntington Ave, Boston, MA 02115"
Be F.I.T. Training,5 star rating,,Boot Camps,N/A
Central Rock Gym - Watertown,4 star rating,10:00 AM - 11:00 PM;10:00 AM - 11:00 PM;10:00 AM - 11:00 PM;10:00 AM - 11:00 PM;10:00 AM - 11:00 PM;8:00 AM - 9:00 PM;8:00 AM - 9:00 PM,Rock Climbing;Gyms;Kids Activities,"74 Acton St, Watertown, MA 02472"
Merrymount Park,4.5 star rating,,Parks,"1 Merrymount Pkwy, Quincy, MA 02170"
Cambridge Armory,3 star rating,,Recreation Centers,"450 Concord Ave, Cambridge, MA 02138"
BKBX,5 star rating,5:30 AM - 10:00 PM;5:30 AM - 10:00 PM;5:30 AM - 10:00 PM;5:30 AM - 10:00 PM;5:30 AM - 8:00 PM;8:00 AM - 7:00 PM;8:00 AM - 8:00 PM,Gyms;Rock Climbing,"211 Western Ave, Boston, MA 02134"
Charles River Bike Paths,4.5 star rating,,Parks,"Storrow And Memorial Dr, Boston, MA 02228"
